feature,file_name,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,spectral_centroid,spectral_centroid,spectral_centroid,spectral_bandwidth,spectral_bandwidth,spectral_bandwidth,zero_crossing_rate,zero_crossing_rate,zero_crossing_rate,rmse,rmse,rmse,spectral_contrast,spectral_contrast,spectral_contrast,spectral_contrast,spectral_contrast,spectral_contrast,spectral_contrast,spectral_contrast,spectral_contrast,spectral_contrast,spectral_contrast,spectral_contrast,spectral_contrast,spectral_contrast,spectral_contrast,spectral_contrast,spectral_contrast,spectral_contrast,spectral_contrast,spectral_contrast,spectral_contrast,tempo
subfeature,,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,
stat,,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,
0,blues.00000.wav,-113.59882,-257.911,21.742056,121.57067,46.89046,164.75476,-19.162262,-70.900154,28.366945,42.36394,-1.2741488,71.43294,-6.362266,-49.184868,30.379974,18.621931,-14.367302,41.80767,-13.699734,-38.8338,14.780132,15.339802,-10.577637,43.634895,-12.274304,-38.79335,13.907669,10.970944,-14.338535,39.42435,-8.326061,-33.125565,15.191151,8.802088,-12.483557,31.242996,-3.6699414,-26.569305,22.482096,1784.1226412753101,1027.0792621048806,4031.364535657069,2002.4124072733873,1306.709962883571,3220.5903011021173,0.08304482066898686,0.033203125,0.24267578125,0.13018432,0.019080387,0.32401443,15.986115582904988,6.558311919503359,36.76596408035452,15.098203280233077,4.028251485330028,36.29972969370562,18.45414937398574,7.758138310214452,39.255278150671984,18.36224256380132,9.350734710022817,30.06152800202335,18.91743082487246,11.199952806277611,30.859734422341816,17.18981618296861,12.08916766622337,27.630749656235757,39.655065886134096,15.659019809150262,48.28916451460973,123.046875
1,blues.00001.wav,-207.52383,-448.55563,-25.956675,123.98514,28.88229,192.77078,8.947019,-78.69281,59.997047,35.86715,-26.024189,76.58583,2.9095943,-42.474632,42.422394,21.519474,-26.499962,50.965458,-8.556512,-57.46592,28.447266,23.370676,-14.032227,57.322296,-10.103608,-52.369705,21.89463,11.899242,-29.54638,40.40428,-5.5588236,-37.257187,24.502066,5.3778763,-25.349419,37.24259,-2.234492,-27.189575,19.230034,1530.2617669893777,421.0917310263757,5444.293576900719,2038.9876082704006,1046.3892262627771,3402.554394968896,0.05603980870552978,0.00634765625,0.32373046875,0.09590782,0.0043613184,0.27168676,15.984938219468534,5.534489482879292,40.285537042196914,17.059629950728368,6.154325447841888,35.6417137710467,19.133786481283217,7.601939406181537,35.10360104206194,19.188013073537594,8.188211069227838,32.81151099669587,18.326915370064803,10.798270615039982,30.138699326976244,17.505238912530242,10.16483711056782,31.351602372469507,37.50887830714264,18.316312061342476,48.775995635107606,67.99958881578948
2,blues.00002.wav,-90.757164,-343.9348,32.401398,140.44087,-11.795291,198.83849,-29.084547,-85.00932,46.547844,31.686693,1.0605388,91.40402,-13.976547,-64.4411,37.09912,25.753752,-5.9715705,61.293633,-13.66499,-51.179153,25.839512,11.634442,-31.285774,34.020233,-11.778322,-34.6715,29.949432,9.714756,-33.708015,31.050621,-13.125314,-45.190308,13.12067,5.791247,-32.569252,25.241777,-8.901967,-28.854305,23.078028,1552.8324814348227,417.25480335685745,4669.7707029320545,1747.7540868495225,960.2119639886765,2662.7393869977923,0.07629120746326373,0.0126953125,0.44091796875,0.17547321,0.039753497,0.3265906,26.345502763614213,9.948216595933179,67.98005563611429,14.1918816655083,4.558864759253092,33.819909637889964,17.701924091363754,7.195123267941493,39.319466896926016,19.419605086040423,10.413756241753692,31.971637008341027,20.342664693920085,11.423091426860909,34.5096788797023,18.31105908724081,11.855348867224391,29.979512397155332,39.02640651663989,17.854428326739818,48.902795716039066,161.4990234375
3,blues.00003.wav,-199.57513,-363.9536,-14.066174,150.0861,62.801785,235.07391,5.663404,-63.067093,43.561996,26.855282,-27.263676,63.49259,1.7700713,-49.73822,37.437782,14.232647,-24.058449,56.01583,-4.8278446,-45.373238,21.04934,9.286853,-18.335243,30.78329,-0.75612015,-29.548191,25.273714,8.134435,-29.347538,32.761795,-3.200026,-45.598267,25.346262,6.078081,-14.12202,40.363243,-2.478445,-32.890564,20.65133,1070.1534175250665,318.71349775406674,3236.442121459157,1596.422564453577,671.0980150777596,3174.579280006681,0.03330886262567672,0.00634765625,0.14501953125,0.14104027,0.009309824,0.38371503,29.784038278808787,10.826477139837063,53.952526118610734,14.76604254261303,5.438507900878054,33.261557625271266,17.23854978173165,6.741297657310252,35.03292776880036,18.63406550972676,9.087033710486425,28.435330158477583,18.490612995800266,8.306046633394683,30.362425871309565,16.787122916734297,11.239996898444504,28.818933687563018,34.264915724272285,12.497492819125263,44.8202776460169,63.02400914634146
4,blues.00004.wav,-160.35417,-356.30292,-6.147505,126.209496,-11.409155,188.28465,-35.581394,-84.612366,21.923258,22.139256,-13.978872,86.17343,-32.47355,-96.11963,18.551868,10.850701,-21.327461,46.329144,-23.35007,-65.48233,0.27434987,0.49324888,-27.954872,33.73068,-11.796538,-44.258587,24.094099,1.2035191,-24.465714,30.684135,-13.084959,-41.40929,24.97996,-2.8104994,-30.323238,31.72102,-6.9344707,-36.607307,24.070385,1835.1285127725687,849.6582827549919,4464.156647572354,1748.410758453805,1081.6565352761947,2770.6955108255424,0.10146053871809745,0.03955078125,0.3662109375,0.09150122,0.007671018,0.28839296,17.055249292784442,6.5357875806995,41.58232774620623,15.693600776805484,6.1138037075216785,35.259768608144476,19.132496461845886,8.234640693428192,36.02060390514157,20.522276096213048,8.647338525177977,34.63898567618361,20.784787543291493,9.854381448387992,35.516796509182726,19.71064005586685,9.91417675825599,31.268424032950897,37.318275969997835,10.675221978733457,54.52664972872332,135.99917763157896
5,blues.00005.wav,-177.80174,-451.74277,13.48069,118.20316,-85.43895,194.46025,-17.57063,-77.22774,65.34683,30.760927,-26.67286,104.37159,-21.742554,-85.97183,45.790398,11.919263,-23.787033,59.90927,-20.734299,-69.42012,12.486639,3.1852887,-23.334753,43.948997,-8.580818,-50.194054,27.5644,-0.9328851,-23.615068,36.070023,-11.772245,-52.496094,8.917014,-2.408764,-36.482567,34.333176,-9.348446,-32.542824,21.219852,1832.0115969728529,645.8816598850169,5399.377714910023,1729.5808044661662,940.593017039901,2827.733350623135,0.09404153373936582,0.01611328125,0.48193359375,0.103452876,0.0043800697,0.45972845,17.470207038238584,6.54216584952713,39.08402416820465,19.56125479512844,6.173006506343045,48.18517026499787,21.289941922365124,6.858428198267959,44.855493743062524,21.344465999304166,8.064329864733246,36.961139783229214,20.78043860083157,9.485810092019758,33.124972945910415,19.40411528307254,9.521483666384224,30.08363061719164,37.94788487390753,23.704217607887486,55.906395005952405,69.83741554054055
6,blues.00006.wav,-190.0688,-443.44998,29.45856,130.27023,-15.379962,201.39595,-36.362114,-117.80623,54.204697,33.03621,-18.004536,109.06424,11.093892,-105.150894,58.099785,-0.5918818,-35.61358,51.08857,-20.890266,-64.356926,19.577423,0.27844238,-31.436104,30.489765,-6.496385,-50.76274,22.762745,-5.5127354,-54.016617,33.897972,-7.847404,-46.061142,24.801147,-3.1243007,-33.639618,31.054304,-6.6028214,-42.875397,31.35249,1459.469690811473,415.6335642056492,4499.417244571683,1389.0684455566086,763.8966875470652,2682.510430431748,0.07305223740815932,0.01708984375,0.37548828125,0.14175196,0.0028511093,0.54481196,24.755079947983496,5.072359603059108,52.034575864902166,21.066654198200172,5.2716422863268955,39.802915964637265,22.205534237075828,7.148754403834859,44.5997654187134,21.25944816136903,8.62711651901397,36.27964744451983,21.652819321556088,5.465312443809262,36.577335171339634,20.14428616114598,12.214721606440975,32.42688446312488,32.86422789622399,8.413140496359818,52.04960320045764,71.77734375
7,blues.00007.wav,-179.3723,-413.14587,42.689907,136.44833,-17.305693,211.60522,-26.662588,-89.76281,51.44596,39.96545,-9.581615,106.606674,5.310894,-73.21765,53.79418,10.919133,-24.930637,55.310616,-20.559534,-61.225883,25.389946,8.503361,-25.64509,51.44053,-11.349764,-58.079674,24.607113,-3.4705548,-38.98115,32.669033,-8.415842,-58.92198,22.533064,-6.957211,-37.71072,29.0573,-3.5460427,-42.726135,19.058315,1451.8594137957505,540.133477548416,4625.431431075705,1577.567115762827,794.0731905304399,2744.3938655778898,0.061442246108855375,0.0107421875,0.2939453125,0.13176751,0.008340701,0.40518692,20.203992591647996,6.773887788737997,38.118125619610495,20.094493223158633,6.192865921551459,39.551353655984116,20.707093884720244,7.105494062203134,39.52415757051814,19.630546752093863,8.991744764767315,37.146518192476776,20.709945310604542,10.247798834357901,32.550733358305536,19.603038090729164,11.505141995698825,30.68371460168973,36.09972121364525,5.675180232748949,50.73187434126091,92.28515625
