filename,genre
000002.png,Hip-Hop
000005.png,Hip-Hop
000010.png,Pop
000140.png,Folk
000141.png,Folk
000148.png,Experimental
000182.png,Rock
000190.png,Folk
000193.png,Folk
000194.png,Folk
000197.png,Folk
000200.png,Folk
000203.png,Folk
000204.png,Folk
000207.png,Folk
000210.png,Folk
000211.png,Folk
000212.png,Folk
000213.png,Pop
000255.png,Rock
000256.png,Rock
000368.png,Rock
000424.png,Experimental
000459.png,Rock
000534.png,Folk
000540.png,Folk
000546.png,Folk
000574.png,Rock
000602.png,Folk
000615.png,Experimental
000620.png,Folk
000621.png,Folk
000625.png,Folk
000666.png,International
000667.png,International
000676.png,Hip-Hop
000690.png,Rock
000694.png,Hip-Hop
000695.png,Hip-Hop
000704.png,International
000705.png,International
000706.png,International
000707.png,International
000708.png,International
000709.png,International
000714.png,Folk
000715.png,Folk
000716.png,Folk
000718.png,Folk
000777.png,Rock
000814.png,Folk
000821.png,Pop
000822.png,Pop
000825.png,Rock
000853.png,International
000890.png,Folk
000892.png,Folk
000897.png,Experimental
000993.png,Rock
000995.png,Experimental
000997.png,Experimental
000998.png,Experimental
001039.png,Rock
001040.png,Rock
001066.png,Experimental
001069.png,Experimental
001073.png,Experimental
001075.png,Experimental
001082.png,International
001083.png,Experimental
001087.png,Rock
001102.png,Rock
001193.png,Folk
001195.png,Folk
001196.png,Folk
001197.png,Folk
001249.png,Experimental
001259.png,Experimental
001270.png,Rock
001276.png,Experimental
001277.png,Experimental
001278.png,Experimental
001417.png,Rock
001427.png,Rock
001443.png,Experimental
001482.png,Electronic
001510.png,Experimental
001544.png,Folk
001642.png,Pop
001644.png,Pop
001649.png,Pop
001661.png,Pop
001663.png,Pop
001666.png,Pop
001673.png,Experimental
001680.png,International
001681.png,International
001682.png,International
001683.png,International
001684.png,International
001685.png,International
001686.png,International
001687.png,International
001688.png,International
001689.png,International
001701.png,Folk
001702.png,Folk
001703.png,Folk
001704.png,Folk
001706.png,Rock
001720.png,Rock
001732.png,Experimental
001733.png,Experimental
001735.png,Experimental
001736.png,Experimental
001883.png,Rock
001891.png,Rock
001893.png,Folk
001924.png,Folk
001925.png,Folk
001929.png,Experimental
001930.png,Rock
002012.png,Experimental
002096.png,Experimental
002097.png,Folk
002099.png,Pop
003263.png,Folk
003264.png,Folk
003265.png,Folk
003266.png,Folk
003270.png,Folk
003271.png,Folk
003272.png,Folk
003273.png,Folk
003274.png,Folk
003492.png,Rock
003532.png,Pop
003533.png,Pop
003534.png,Pop
003535.png,Pop
003537.png,Pop
003538.png,Pop
003573.png,Electronic
003598.png,Folk
003624.png,Rock
003707.png,Folk
003708.png,Folk
003720.png,Rock
003721.png,Rock
003722.png,Rock
003724.png,Rock
003725.png,Rock
003761.png,Rock
003762.png,Rock
003763.png,Rock
003765.png,Rock
003766.png,Rock
003775.png,International
003776.png,International
003777.png,International
003778.png,International
003779.png,International
003832.png,Folk
003833.png,Rock
003840.png,Rock
003880.png,Folk
003895.png,International
003896.png,International
003904.png,Folk
003905.png,Folk
003906.png,Folk
003908.png,Folk
