track_id,title,artist,genre,bit_rate
2,Food,AWOL,Hip-Hop,256000
5,This World,AWOL,Hip-Hop,256000
10,Freeway,Kurt Vile,Pop,192000
140,Queen Of The Wires,Alec K. Redfearn & the Eyesores,Folk,128000
141,Ohio,Alec K. Redfearn & the Eyesores,Folk,128000
148,Blackout 2,Contradiction,Experimental,256000
182,Jules Lost His Jewels,Ariel Pink's Haunted Graffiti,Rock,256000
190,Castle Of Stars,Ed Askew,Folk,256000
193,Here With You,Ed Askew,Folk,256000
194,All I want to Do,Ed Askew,Folk,256000
197,Piano 2,Ed Askew,Folk,256000
200,Baby Come Home,Ed Askew,Folk,256000
203,Song For R,Ed Askew,Folk,256000
204,My Dream,Ed Askew,Folk,256000
207,Piano 3,Ed Askew,Folk,256000
210,In the French Court,Ed Askew,Folk,256000
211,In America,Ed Askew,Folk,256000
212,When I Arive,Ed Askew,Folk,256000
213,Boute,Au,Pop,256000
255,We Want to be Old,Bird Names,Rock,256000
256,Toggle,Black Elk,Rock,256000
368,Vampires,Blah Blah Blah,Rock,256000
424,The Ambient Honky,Brian Joseph Davis,Experimental,256000
459,Machines and Muscles,CAVE,Rock,128000
534,I Can See You,Charles Manson,Folk,128000
540,The Black Pirate,Charles Manson,Folk,128000
546,If You Have No One,Charles Manson,Folk,128000
574,Caliente Queen,Clockcleaner,Rock,219522
602,Disappearing,Dora Bleu,Folk,160000
615,"Immaterial, side A",EKG,Experimental,256000
620,Arabesque,Ed Askew,Folk,256000
621,Blue Eyed Baby,Ed Askew,Folk,256000
625,Climbing To The Top,Ed Askew,Folk,256000
666,Heat,Explode Into Colors,International,256000
667,Sharpen The Knife,Explode Into Colors,International,256000
676,The Tension,Fanatic,Hip-Hop,256000
690,Cataclysm,Flying Luttenbachers,Rock,256000
694,Planet Say (featuring Faust),Food For Animals,Hip-Hop,160000
695,Elephants,Food For Animals,Hip-Hop,160000
704,Mano De Dios,Fósforo,International,256000
705,Tio Cocodrilo,Fósforo,International,256000
706,Esto Es Califas,Fósforo,International,256000
707,Cochabamba,Fósforo,International,256000
708,Desconocido,Fósforo,International,256000
709,Cumbia De Obama,Fósforo,International,192000
714,Circle Moon,Fursaxa,Folk,256000
715,Kokopelli,Fursaxa,Folk,256000
716,Saxalainen,Fursaxa,Folk,256000
718,Song Of The Spindle Berry,Fursaxa,Folk,256000
777,Relaxing,Glove Compartment,Rock,256000
814,Motion Passings,Hall Of Fame,Folk,256000
821,Sir,Hecuba,Pop,256000
822,Tom & Jerry,Hecuba,Pop,256000
825,Death March,Here Comes A Big Black Cloud!!,Rock,128000
853,Welsinsni Melodyi,Hutzl Ukranian Ensemble,International,256000
890,Softly Tomorrow,Ilyas Ahmed,Folk,256000
892,Phantom Sky,Ilyas Ahmed,Folk,256000
897,02,Infinite Body,Experimental,256000
993,Or So I've Been Told,Jad Fair and Jason Willett,Rock,256000
995,No Good Deed Goes Unpunished,Kevin Shields,Experimental,256000
997,Nothing's Ever Ending,Kevin Shields,Experimental,256000
998,Apparently,Kevin Shields,Experimental,256000
1039,13 Monsters,Lightning Bolt,Rock,256000
1040,Dracula Mountain,Lightning Bolt,Rock,192000
1066,Helicopter de Cristal,Lucky Dragons,Experimental,192000
1069,Un Lagrima en la Discoteca,Lucky Dragons,Experimental,192000
1073,Onda Tocadisco,Lucky Dragons,Experimental,192000
1075,Painful Corazon,Lucky Dragons,Experimental,192000
1082,Nam Nhi-tu,M. Nguyen Van Minh-Con,International,256000
1083,Feasting on Energy,Magic Lantern,Experimental,192000
1087,Tell The Police The Truth,Mahjongg,Rock,256000
1102,Rare Vodka from the Fourteenth Century,Mary Halvorson and Weasel Walter,Rock,256000
1193,Wooly Mammoth's Absence,Mount Eerie,Folk,192000
1195,With My Hands Out,Mount Eerie,Folk,192000
1196,2 Blonde Braids,Mount Eerie,Folk,192000
1197,My Burning,Mount Eerie,Folk,192000
1249,"""Cleanse Bath"" 10"" Metal Laquer",Nautical Almanac,Experimental,256000
1259,Rolling In The Green,Nautical Almanac,Experimental,256000
1270,Cocksuckerbastardmotherfucker,Necropolis,Rock,128000
1276,Richard Nixon Died Today,Negativland,Experimental,256000
1277,No Business,Negativland,Experimental,256000
1278,Downloading,Negativland,Experimental,256000
1417,Guns of Thunder,Pierced Arrows,Rock,256000
1427,I Feel Evils,Plastic Crimewave Sound,Rock,128000
1443,Time Fist,Pocahaunted,Experimental,192000
1482,Reindeer Dance,Rainbro,Electronic,256000
1510,Zombie,Ric Royer &amp; G. Lucas Crane,Experimental,256000
1544,Song of The Stations,Samara Lubelski,Folk,256000
1642,Hrz,So Cow,Pop,256000
1644,Outskirts,So Cow,Pop,256000
1649,Inis Meain,So Cow,Pop,256000
1661,Only Fools and Horses Theme,So Cow,Pop,256000
1663,So High,Softboiled Eggies,Pop,192000
1666,She Fell Through the Trees,Softboiled Eggies,Pop,192000
1673,Track 07,Solemn Man,Experimental,192000
1680,Bashraf Salama,The Sounds of Taraab,International,256000
1681,Daka Kozi Manowe,The Sounds of Taraab,International,256000
1682,Nie Zama Nie Sema,The Sounds of Taraab,International,256000
1683,Mapenzi Matamu,The Sounds of Taraab,International,256000
1684,Mahaba Wa Taka Nini,The Sounds of Taraab,International,256000
1685,Eni Wana Damu,The Sounds of Taraab,International,256000
1686,Rufiji,The Sounds of Taraab,International,256000
1687,"Lala, Mpenzi Lala",The Sounds of Taraab,International,256000
1688,Sishituki,The Sounds of Taraab,International,256000
1689,Unalo,The Sounds of Taraab,International,256000
1701,Clouds,Spires That in the Sunset Rise,Folk,256000
1702,Java Pop,Spires That in the Sunset Rise,Folk,256000
1703,Equus Haar,Spires That in the Sunset Rise,Folk,256000
1704,Morning Song,Spires That in the Sunset Rise,Folk,256000
1706,In the Pineys,Strapping Fieldhands,Rock,128000
1720,Harken Sunshine,Sun Araw,Rock,192000
1732,Black Jerusalem,Teeth Mountain,Experimental,256000
1733,Keinsein,Teeth Mountain,Experimental,256000
1735,Ghost Science,Teeth Mountain,Experimental,256000
1736,Soft Beast,Teeth Mountain,Experimental,256000
1883,I Do What I Do,The Yolks,Rock,160000
1891,Kids In Cars,Thee Oh Sees,Rock,192000
1893,Memories,Tommy Jay,Folk,122892
1924,Calling For You,The Twin Atlas,Folk,128000
1925,Happy At The Wheel,The Twin Atlas,Folk,128000
1929,Buzz Chant,U.S. Girls,Experimental,256000
1930,So Thereby...and furthermore...thus henceforth...Mono,Upsilon Acrux,Rock,256000
2012,The White Mice,White Mice,Experimental,256000
2096,title unknown,Grouper,Experimental,256000
2097,My Sweet Miasma,Hall Of Fame,Folk,256000
2099,....like bacon sundays,luc,Pop,192000
3263,A Date,Ai Aso,Folk,256000
3264,Tee Te Te,Ai Aso,Folk,256000
3265,Lavender,Ai Aso,Folk,256000
3266,Land,Ai Aso,Folk,256000
3270,Song for Obol,Arborea,Folk,256000
3271,Beirut,Arborea,Folk,256000
3272,Seadrift,Arborea,Folk,256000
3273,Redbird,Arborea,Folk,256000
3274,Forewarned,Arborea,Folk,256000
3492,On The Wings,Citay,Rock,256000
3532,Heaven Is Human,Cryptacize,Pop,256000
3533,New Spell,Cryptacize,Pop,256000
3534,Cosmic Sing-a-long,Cryptacize,Pop,256000
3535,No Coins,Cryptacize,Pop,256000
3537,We'll Never Dream Again,Cryptacize,Pop,256000
3538,Say You Will,Cryptacize,Pop,256000
3573,Piggled,Dan Deacon,Electronic,256000
3598,Little Eyes,Ed Askew,Folk,256000
3624,Days of Summer,Fallen Leaves,Rock,256000
3707,Stable the Spuds,Gary Higgins,Folk,256000
3708,Thicker Than A Smokey,Gary Higgins,Folk,256000
3720,Walking on the Water,Indian Jewelry,Rock,128000
3721,Pow Wow,Indian Jewelry,Rock,128000
3722,Swans,Indian Jewelry,Rock,128000
